n	v_eff	rho
469 2342.24 3.52265
470 2324.74 3.51749
471 2307.05 3.51229
472 2289.2 3.50705
473 2271.17 3.50179
474 2252.96 3.49648
475 2234.58 3.49114
476 2216.02 3.48577
477 2197.29 3.48036
478 2178.37 3.47492
479 2159.27 3.46944
480 2140 3.46393
481 2120.54 3.45838
482 2100.9 3.4528
483 2081.08 3.44718
484 2061.08 3.44152
485 2040.9 3.43583
486 2020.53 3.43011
487 1999.98 3.42434
488 1979.25 3.41854
489 1958.33 3.41271
490 1937.23 3.40684
491 1915.95 3.40093
492 1894.48 3.39499
493 1872.83 3.38901
494 1851 3.38299
495 1828.98 3.37694
496 1806.79 3.37085
497 1784.41 3.36472
498 1761.85 3.35856
499 1739.11 3.35236
500 1716.2 3.34612
501 1693.11 3.33984
502 1669.84 3.33353
503 1646.4 3.32718
504 1622.79 3.3208
505 1599 3.31437
506 1575.05 3.30791
507 1550.93 3.30142
508 1526.64 3.29488
509 1502.2 3.28831
510 1477.6 3.2817
511 1452.84 3.27505
512 1427.92 3.26836
513 1402.86 3.26164
514 1377.66 3.25488
515 1352.31 3.24808
516 1326.82 3.24125
517 1301.21 3.23438
518 1275.46 3.22747
519 1249.6 3.22052
520 1223.61 3.21353
521 1197.52 3.20651
522 1171.32 3.19945
523 1145.02 3.19235
524 1118.64 3.18522
525 1092.17 3.17805
526 1065.62 3.17084
527 1039.01 3.1636
528 1012.33 3.15632
529 985.61 3.149
530 958.847 3.14164
531 932.055 3.13425
532 905.244 3.12682
533 878.426 3.11936
534 851.612 3.11186
535 824.814 3.10433
536 798.047 3.09676
537 771.323 3.08915
538 744.658 3.08151
539 718.065 3.07384
540 691.562 3.06613
541 665.164 3.05838
542 638.889 3.05061
543 612.756 3.0428
544 586.782 3.03495
545 560.988 3.02708
546 535.395 3.01917
547 510.023 3.01123
548 484.897 3.00325
549 460.038 2.99525
550 435.471 2.98722
551 411.222 2.97915
552 387.318 2.97106
553 363.785 2.96294
554 340.652 2.95479
555 317.949 2.94661
556 295.707 2.93841
557 273.958 2.93018
558 252.734 2.92192
559 232.07 2.91364
560 212.002 2.90534
561 192.566 2.89701
562 173.801 2.88866
563 155.744 2.88029
564 138.438 2.8719
565 121.923 2.86349
566 106.242 2.85507
567 91.4401 2.84662
568 77.5621 2.83816
569 64.6548 2.82969
570 52.766 2.8212
571 41.9447 2.8127
572 32.2412 2.80418
573 23.7067 2.79566
574 16.3936 2.78713
575 10.3551 2.7786
576 5.64563 2.77006
577 2.32028 2.76152
578 0.434963 2.75297
579 0.0462757 2.74443
580 1.21138 2.73589
581 3.98789 2.72735
582 8.43371 2.71882
583 14.6069 2.7103
584 22.5656 2.70179
585 32.3676 2.69329
586 44.0703 2.6848
587 57.7308 2.67633
588 73.4049 2.66789
589 91.1477 2.65946
590 111.013 2.65106
591 133.051 2.64269
592 157.314 2.63435
593 183.849 2.62604
594 212.7 2.61776
595 243.909 2.60953
596 277.514 2.60134
597 313.551 2.59319
598 352.05 2.5851
599 393.035 2.57705
600 436.528 2.56906
601 482.543 2.56113
602 531.087 2.55327
603 582.164 2.54547
604 635.767 2.53774
605 691.883 2.53008
606 750.49 2.52251
607 811.559 2.51502
608 875.049 2.50761
609 940.911 2.50029
610 1009.08 2.49308
611 1079.5 2.48596
612 1152.08 2.47894
613 1226.72 2.47203
614 1303.32 2.46524
615 1381.77 2.45856
616 1461.94 2.45201
617 1543.67 2.44558
618 1626.83 2.43929
619 1711.23 2.43313
620 1796.71 2.42711
621 1883.06 2.42124
622 1970.08 2.41552
623 2057.56 2.40995
624 2145.27 2.40455
625 2232.97 2.39931
626 2320.42 2.39423
627 2407.34 2.38934
628 2493.49 2.38462
629 2578.59 2.38008
630 2662.36 2.37573
631 2744.51 2.37157
632 2824.77 2.3676
633 2902.86 2.36383
634 2978.47 2.36027
635 3051.34 2.35691
636 3121.18 2.35377
637 3187.72 2.35083
638 3250.69 2.34811
639 3309.84 2.34561
640 3364.93 2.34334
641 3415.72 2.34128
642 3461.99 2.33946
643 3503.55 2.33786
644 3540.22 2.33649
645 3571.83 2.33535
646 3598.25 2.33445
647 3619.35 2.33378
648 3635.04 2.33335
649 3645.25 2.33315
650 3649.93 2.33318
651 3649.07 2.33346
652 3642.66 2.33396
653 3630.74 2.33471
654 3613.35 2.33568
655 3590.59 2.33689
656 3562.54 2.33833
657 3529.34 2.34
658 3491.13 2.3419
659 3448.08 2.34402
660 3400.38 2.34637
661 3348.23 2.34894
662 3291.85 2.35172
663 3231.48 2.35472
664 3167.37 2.35794
665 3099.77 2.36136
666 3028.96 2.36499
667 2955.21 2.36881
668 2878.79 2.37284
669 2800 2.37706
670 2719.12 2.38147
671 2636.43 2.38607
672 2552.22 2.39084
673 2466.77 2.39579
674 2380.35 2.40092
675 2293.23 2.40621
676 2205.68 2.41167
677 2117.95 2.41728
678 2030.29 2.42305
679 1942.93 2.42897
680 1856.09 2.43503
681 1769.99 2.44123
682 1684.83 2.44757
683 1600.79 2.45404
684 1518.06 2.46063
685 1436.8 2.46734
686 1357.16 2.47417
687 1279.27 2.48111
688 1203.26 2.48816
689 1129.25 2.49531
690 1057.34 2.50256
691 987.614 2.50991
692 920.153 2.51734
693 855.023 2.52486
694 792.283 2.53246
695 731.977 2.54014
696 674.142 2.54789
697 618.807 2.55571
698 565.989 2.5636
699 515.701 2.57154
700 467.944 2.57955
701 422.716 2.58761
702 380.006 2.59572
703 339.797 2.60388
704 302.068 2.61209
705 266.792 2.62034
706 233.936 2.62862
707 203.465 2.63694
708 175.341 2.64529
709 149.518 2.65367
710 125.953 2.66208
711 104.597 2.67051
712 85.3981 2.67897
713 68.3053 2.68744
714 53.2641 2.69593
715 40.2193 2.70443
716 29.1144 2.71295
