n   x   y
568 1.70053 1.94881
569 1.71305 1.9211
570 1.73085 1.89589
571 1.75341 1.87401
572 1.78001 1.85612
573 1.80973 1.84277
574 1.84159 1.83432
575 1.87453 1.83097
576 1.90755 1.8327
577 1.93972 1.83938
578 1.97022 1.85069
579 1.99836 1.86625
580 2.02359 1.88557
581 2.04549 1.90814
582 2.06376 1.93341
583 2.07817 1.96082
584 2.08863 1.98984
585 2.09509 2.01993
586 2.09756 2.05059
587 2.09612 2.08135
588 2.09088 2.11176
589 2.08198 2.14141
590 2.06961 2.16991
591 2.05396 2.19689
592 2.03527 2.22204
593 2.01379 2.24503
594 1.98978 2.26559
595 1.96353 2.28346
596 1.93536 2.2984
597 1.9056 2.31022
598 1.8746 2.31873
599 1.84274 2.32378
600 1.81042 2.32525
601 1.77807 2.32306
602 1.74616 2.31717
603 1.71515 2.30758
604 1.68557 2.29437
605 1.65794 2.27765
606 1.63282 2.25764
607 1.61078 2.23463
608 1.59237 2.209
609 1.57815 2.18125
610 1.56861 2.15195
611 1.56418 2.12181
612 1.56516 2.0916
613 1.57171 2.06218
614 1.58379 2.0344
615 1.60116 2.00914
616 1.62333 1.98719
617 1.6496 1.96925
618 1.6791 1.95587
619 1.71083 1.94741
620 1.74374 1.94408
621 1.7768 1.94588
622 1.80905 1.95266
623 1.83964 1.96411
624 1.86786 1.97983
625 1.89313 1.99934
626 1.91502 2.0221
627 1.93319 2.04755
628 1.94746 2.07512
629 1.9577 2.10426
630 1.96387 2.13443
631 1.966 2.16512
632 1.96418 2.19584
633 1.95852 2.22615
634 1.94919 2.25562
635 1.93639 2.28388
636 1.92031 2.31055
637 1.90122 2.33532
638 1.87936 2.35788
639 1.85501 2.37795
640 1.82848 2.39529
641 1.80008 2.40968
642 1.77014 2.42091
643 1.73904 2.42883
644 1.70713 2.43328
645 1.67482 2.43417
646 1.64255 2.43141
647 1.61074 2.42499
648 1.57988 2.41492
649 1.55047 2.40127
650 1.52301 2.38417
651 1.49806 2.36384
652 1.47614 2.34056
653 1.45781 2.31472
654 1.44358 2.2868
655 1.43395 2.25737
656 1.42933 2.22713
657 1.43003 2.19684
658 1.43623 2.16733
659 1.4479 2.13947
660 1.46484 2.11412
661 1.4866 2.09209
662 1.51252 2.07407
663 1.54175 2.06063
664 1.57331 2.05214
665 1.60615 2.04882
666 1.63922 2.05066
667 1.67154 2.05753
668 1.70222 2.06911
669 1.73051 2.085
670 1.75583 2.10469
671 1.77771 2.12764
672 1.79582 2.15327
673 1.80995 2.181
674 1.81998 2.21027
675 1.82589 2.24052
676 1.8277 2.27124
677 1.82551 2.30193
678 1.81946 2.33213
679 1.80971 2.36143
680 1.79648 2.38944
681 1.78 2.41581
682 1.76051 2.4402
683 1.73829 2.46232
684 1.71362 2.48191
685 1.68681 2.49872
686 1.6582 2.51254
687 1.6281 2.52319
688 1.5969 2.5305
689 1.56496 2.53436
690 1.53268 2.53465
691 1.50049 2.53133
692 1.46881 2.52437
693 1.43812 2.5138
694 1.4089 2.4997
695 1.38164 2.48221
696 1.35687 2.46154
697 1.33511 2.43799
698 1.31689 2.41192
699 1.30271 2.38382
700 1.29303 2.35425
701 1.28827 2.32389
702 1.28874 2.29349
703 1.29461 2.26388
704 1.3059 2.23592
705 1.32241 2.21046
706 1.34376 2.18831
707 1.36931 2.17019
708 1.39824 2.15665
709 1.4296 2.14811
710 1.46233 2.14477
711 1.49538 2.14665
712 1.52773 2.15359
713 1.55848 2.16529
714 1.58686 2.18133
715 1.61223 2.2012
716 1.63411 2.22434
717 1.65217 2.25015
718 1.66618 2.27806
719 1.67603 2.30746
720 1.68168 2.33779
721 1.68319 2.36854
722 1.68065 2.3992
723 1.67422 2.4293
724 1.66407 2.45843
725 1.65044 2.4862
726 1.63355 2.51226
727 1.61368 2.53627
728 1.59111 2.55796
729 1.56614 2.57706
730 1.53907 2.59334
731 1.51025 2.6066
732 1.48001 2.61665
733 1.44872 2.62337
734 1.41676 2.62661
735 1.38453 2.62632
736 1.35243 2.62242
737 1.3209 2.61492
738 1.29039 2.60385
739 1.26138 2.58929
740 1.23435 2.5714
741 1.2098 2.55039
742 1.18823 2.52654
743 1.17015 2.50024
744 1.15605 2.47195
745 1.14637 2.44222
746 1.14152 2.41173
747 1.14179 2.38121
748 1.14738 2.35147
749 1.15831 2.32338
750 1.17443 2.29778
751 1.19536 2.2755
752 1.22052 2.25724
753 1.24913 2.24359
754 1.28025 2.23497
755 1.31284 2.23158
756 1.34583 2.23347
757 1.3782 2.24047
758 1.40901 2.25227
759 1.43746 2.26846
760 1.46288 2.28851
761 1.48478 2.31183
762 1.5028 2.33784
763 1.5167 2.3659
764 1.52638 2.39544
765 1.5318 2.42587
766 1.53302 2.45665
767 1.53015 2.48728
768 1.52335 2.51729
769 1.51283 2.54626
770 1.4988 2.57379
771 1.48153 2.59953
772 1.4613 2.62318
773 1.43839 2.64443
774 1.41312 2.66304
775 1.3858 2.67879
776 1.35679 2.69148
777 1.32642 2.70095
778 1.29506 2.70706
779 1.26309 2.7097
780 1.23091 2.7088
781 1.19892 2.70433
782 1.16755 2.69628
783 1.13725 2.6847
784 1.10847 2.66969
785 1.08169 2.65139
786 1.05738 2.63002
787 1.03604 2.60588
788 1.01814 2.57933
789 1.00416 2.55083
790 0.994526 2.52094
791 0.989625 2.4903
792 0.989754 2.45965
793 0.995101 2.42978
794 1.00571 2.40154
795 1.02144 2.37578
796 1.04197 2.35333
797 1.06674 2.33491
798 1.09501 2.32112
799 1.12586 2.31238
800 1.15827 2.30893
801 1.19118 2.31079
802 1.22354 2.31783
803 1.25439 2.32973
804 1.2829 2.34605
805 1.30837 2.36627
806 1.33029 2.38978
807 1.34828 2.41597
808 1.36209 2.44421
809 1.37162 2.47389
810 1.37683 2.50442
811 1.37778 2.53524
812 1.37459 2.56585
813 1.36745 2.59577
814 1.35655 2.62457
815 1.34215 2.65187
816 1.32451 2.67731
817 1.30392 2.70058
818 1.28069 2.72141
819 1.25514 2.73953
820 1.22759 2.75475
821 1.19839 2.76688
822 1.1679 2.77575
823 1.13648 2.78125
824 1.10452 2.78329
825 1.07241 2.78179
826 1.04055 2.77674
827 1.00936 2.76814
828 0.979274 2.75605
829 0.950747 2.74057
830 0.924231 2.72186
831 0.900194 2.70013
832 0.879103 2.67568
833 0.861424 2.64888
834 0.847604 2.62018
835 0.83806 2.59011
836 0.833158 2.55932
837 0.83319 2.52852
838 0.838343 2.4985
839 0.848668 2.4701
840 0.864052 2.44418
841 0.884188 2.42154
842 0.908566 2.40293
843 0.936477 2.38896
844 0.96704 2.38008
845 0.999249 2.37652
846 1.03204 2.37834
847 1.06436 2.38539
848 1.09523 2.39736
849 1.12378 2.4138
850 1.1493 2.43418
851 1.17125 2.45787
852 1.18921 2.48425
853 1.20295 2.51267
854 1.21234 2.5425
855 1.21735 2.57313
856 1.21805 2.604
857 1.21457 2.6346
858 1.20709 2.66444
859 1.19584 2.69309
860 1.18108 2.72015
861 1.16308 2.7453
862 1.14216 2.7682
863 1.11862 2.78859
864 1.09279 2.80624
865 1.06502 2.82093
866 1.03566 2.83249
867 1.00506 2.84077
868 0.973597 2.84567
869 0.941653 2.84709
870 0.909619 2.845
871 0.877897 2.83936
872 0.846901 2.83021
873 0.817057 2.81761
874 0.7888 2.80166
875 0.762575 2.78253
876 0.738833 2.76044
877 0.718024 2.73569
878 0.700595 2.70863
879 0.686974 2.67971
880 0.67756 2.64946
881 0.672703 2.61852
882 0.672686 2.58757
883 0.677691 2.5574
884 0.687777 2.52883
885 0.702844 2.50271
886 0.722614 2.47987
887 0.74661 2.46105
888 0.774159 2.44687
889 0.804413 2.43781
890 0.83639 2.43411
891 0.869035 2.43585
892 0.901289 2.44289
893 0.932152 2.45491
894 0.960736 2.47146
895 0.9863 2.49198
896 1.00827 2.51586
897 1.02622 2.54242
898 1.0399 2.57102
899 1.04916 2.601
900 1.054 2.63174
901 1.05446 2.66268
902 1.0507 2.69327
903 1.0429 2.72303
904 1.03132 2.75153
905 1.01621 2.77838
906 0.997868 2.80322
907 0.976617 2.82577
908 0.95278 2.84574
909 0.926696 2.8629
910 0.898716 2.87707
911 0.869196 2.88806
912 0.838502 2.89576
913 0.807008 2.90005
914 0.775096 2.90087
915 0.743156 2.89817
916 0.711588 2.89196
917 0.680799 2.88225
918 0.651209 2.86913
919 0.62324 2.85271
920 0.597327 2.83316
921 0.573903 2.81071
922 0.553404 2.78564
923 0.536257 2.75832
924 0.522871 2.72919
925 0.513628 2.69877
926 0.508862 2.66766
927 0.508843 2.63656
928 0.513749 2.60623
929 0.52364 2.57749
930 0.538431 2.55118
931 0.557864 2.52811
932 0.581494 2.50906
933 0.608683 2.49465
934 0.638616 2.48536
935 0.670338 2.4815
936 0.702809 2.48312
937 0.734969 2.49011
938 0.765804 2.50216
939 0.794404 2.51879
940 0.820002 2.53946
941 0.841993 2.5635
942 0.859941 2.59025
943 0.873563 2.61903
944 0.882719 2.64917
945 0.887384 2.68003
946 0.887629 2.71103
947 0.883601 2.74163
948 0.875507 2.77133
949 0.863597 2.79969
950 0.848156 2.82632
951 0.82949 2.85088
952 0.807927 2.87307
953 0.783806 2.89262
954 0.757478 2.90931
955 0.7293 2.92295
956 0.699637 2.93339
957 0.668859 2.9405
958 0.637345 2.94419
959 0.605477 2.9444
960 0.573644 2.94111
961 0.542243 2.93431
962 0.511677 2.92405
963 0.482356 2.91042
964 0.454694 2.89353
965 0.429111 2.87356
966 0.406029 2.85074
967 0.385865 2.82536
968 0.369029 2.79778
969 0.355913 2.76843
970 0.34688 2.73783
971 0.342248 2.70656
972 0.342274 2.67531
973 0.347129 2.64483
974 0.356874 2.61591
975 0.37143 2.58939
976 0.390561 2.5661
977 0.413848 2.54679
978 0.440685 2.53212
979 0.470292 2.52259
980 0.501744 2.51852
981 0.534017 2.51999
982 0.566057 2.5269
983 0.596841 2.53893
984 0.625439 2.55563
985 0.651059 2.57642
986 0.673071 2.60062
987 0.691014 2.62756
988 0.704591 2.65652
989 0.71365 2.68682
990 0.718163 2.71781
991 0.718204 2.74889
992 0.713927 2.7795
993 0.705548 2.80914
994 0.69333 2.83737
995 0.677571 2.8638
996 0.65859 2.88809
997 0.636729 2.90992
998 0.612337 2.92906
999 0.585776 2.94528
1000 0.557413 2.95841
1001 0.527619 2.96829
