n	x	y	z
280 1.64388 -1.28848 -1.21755
281 1.65503 -1.2821 -1.22157
282 1.66621 -1.2754 -1.22423
283 1.67737 -1.26844 -1.22554
284 1.68847 -1.26127 -1.22549
285 1.69944 -1.25396 -1.22408
286 1.71025 -1.24658 -1.22134
287 1.72085 -1.23916 -1.21727
288 1.73119 -1.23178 -1.21191
289 1.74123 -1.22449 -1.20529
290 1.75094 -1.21733 -1.19745
291 1.76026 -1.21037 -1.18844
292 1.76916 -1.20365 -1.17831
293 1.77762 -1.19723 -1.16712
294 1.7856 -1.19113 -1.15493
295 1.79307 -1.18542 -1.1418
296 1.80001 -1.18014 -1.12782
297 1.8064 -1.17532 -1.11304
298 1.81224 -1.17101 -1.09757
299 1.8175 -1.16724 -1.08146
300 1.82219 -1.16405 -1.06482
301 1.82632 -1.16147 -1.04772
302 1.82988 -1.15953 -1.03026
303 1.8329 -1.15826 -1.01253
304 1.83539 -1.15769 -0.994609
305 1.83738 -1.15783 -0.976594
306 1.8389 -1.15872 -0.958573
307 1.83999 -1.16035 -0.940632
308 1.84069 -1.16276 -0.922856
309 1.84105 -1.16594 -0.905327
310 1.84113 -1.1699 -0.888123
311 1.84098 -1.17464 -0.871316
312 1.84065 -1.18017 -0.854975
313 1.84023 -1.18648 -0.839163
314 1.83975 -1.19354 -0.823935
315 1.8393 -1.20136 -0.809341
316 1.83894 -1.20991 -0.795422
317 1.83873 -1.21915 -0.782215
318 1.83874 -1.22908 -0.769745
319 1.83901 -1.23965 -0.758034
320 1.83962 -1.25082 -0.747094
321 1.84061 -1.26256 -0.736929
322 1.84204 -1.27482 -0.727539
323 1.84393 -1.28755 -0.718916
324 1.84634 -1.30072 -0.711047
325 1.84929 -1.31426 -0.703911
326 1.8528 -1.32814 -0.697485
327 1.8569 -1.34229 -0.691741
328 1.86161 -1.35666 -0.686647
329 1.86693 -1.37121 -0.682171
330 1.87286 -1.38589 -0.678273
331 1.87941 -1.40064 -0.674918
332 1.88657 -1.41542 -0.672065
333 1.89434 -1.43019 -0.669675
334 1.9027 -1.4449 -0.667708
335 1.91163 -1.45951 -0.666124
336 1.92112 -1.47399 -0.664885
337 1.93115 -1.4883 -0.663951
338 1.9417 -1.50241 -0.663287
339 1.95275 -1.51629 -0.662857
340 1.96427 -1.52991 -0.662626
341 1.97624 -1.54325 -0.662562
342 1.98863 -1.5563 -0.662634
343 2.00143 -1.56902 -0.662812
344 2.01459 -1.58141 -0.66307
345 2.02811 -1.59345 -0.66338
346 2.04196 -1.60513 -0.66372
347 2.05611 -1.61643 -0.664066
348 2.07053 -1.62735 -0.664398
349 2.08521 -1.63789 -0.664696
350 2.10013 -1.64803 -0.664943
351 2.11525 -1.65778 -0.665121
352 2.13057 -1.66713 -0.665216
353 2.14606 -1.67607 -0.665214
354 2.16169 -1.68461 -0.665103
355 2.17747 -1.69275 -0.66487
356 2.19335 -1.70049 -0.664506
357 2.20934 -1.70783 -0.664001
358 2.2254 -1.71478 -0.663346
359 2.24153 -1.72132 -0.662535
360 2.25771 -1.72748 -0.66156
361 2.27393 -1.73325 -0.660415
362 2.29017 -1.73864 -0.659095
363 2.30642 -1.74365 -0.657596
364 2.32267 -1.74828 -0.655914
365 2.3389 -1.75255 -0.654044
366 2.35511 -1.75645 -0.651985
367 2.37128 -1.75999 -0.649734
368 2.3874 -1.76318 -0.647289
369 2.40346 -1.76602 -0.644648
370 2.41946 -1.76852 -0.641811
371 2.43539 -1.77068 -0.638776
372 2.45123 -1.77251 -0.635544
373 2.46698 -1.77402 -0.632113
374 2.48263 -1.7752 -0.628485
375 2.49817 -1.77608 -0.624659
376 2.5136 -1.77664 -0.620637
377 2.52891 -1.7769 -0.616419
378 2.54409 -1.77686 -0.612006
379 2.55914 -1.77653 -0.607399
380 2.57405 -1.77592 -0.6026
381 2.58881 -1.77502 -0.597611
382 2.60343 -1.77385 -0.592433
383 2.61789 -1.77241 -0.587068
384 2.63219 -1.7707 -0.581518
385 2.64633 -1.76874 -0.575786
386 2.66029 -1.76651 -0.569872
387 2.67409 -1.76404 -0.56378
388 2.6877 -1.76133 -0.557513
389 2.70114 -1.75837 -0.551071
390 2.71439 -1.75518 -0.544459
391 2.72745 -1.75175 -0.537678
392 2.74032 -1.7481 -0.530732
393 2.753 -1.74423 -0.523622
394 2.76547 -1.74014 -0.516352
395 2.77775 -1.73584 -0.508925
396 2.78981 -1.73133 -0.501342
397 2.80167 -1.72662 -0.493608
398 2.81333 -1.7217 -0.485725
399 2.82476 -1.71659 -0.477695
400 2.83598 -1.71129 -0.469523
401 2.84699 -1.7058 -0.46121
402 2.85777 -1.70013 -0.45276
403 2.86833 -1.69428 -0.444176
404 2.87866 -1.68825 -0.435461
405 2.88877 -1.68205 -0.426618
406 2.89865 -1.67568 -0.417649
407 2.90829 -1.66914 -0.408559
408 2.9177 -1.66244 -0.399349
409 2.92688 -1.65559 -0.390024
410 2.93582 -1.64858 -0.380586
411 2.94452 -1.64142 -0.371038
412 2.95297 -1.63411 -0.361384
413 2.96119 -1.62666 -0.351626
414 2.96916 -1.61907 -0.341768
415 2.97689 -1.61134 -0.331813
416 2.98437 -1.60347 -0.321764
417 2.99159 -1.59548 -0.311623
418 2.99857 -1.58735 -0.301395
419 3.0053 -1.5791 -0.291082
420 3.01177 -1.57073 -0.280687
421 3.01799 -1.56225 -0.270214
422 3.02395 -1.55364 -0.259665
423 3.02965 -1.54493 -0.249044
424 3.0351 -1.5361 -0.238354
425 3.04028 -1.52717 -0.227597
426 3.04521 -1.51814 -0.216778
427 3.04987 -1.50901 -0.205899
428 3.05426 -1.49978 -0.194963
429 3.05839 -1.49045 -0.183974
430 3.06226 -1.48104 -0.172934
431 3.06586 -1.47153 -0.161847
432 3.06919 -1.46194 -0.150716
433 3.07225 -1.45227 -0.139543
434 3.07504 -1.44252 -0.128333
435 3.07756 -1.4327 -0.117088
436 3.07981 -1.4228 -0.10581
437 3.08178 -1.41283 -0.0945043
438 3.08348 -1.40279 -0.0831728
439 3.08491 -1.39269 -0.0718187
440 3.08606 -1.38253 -0.0604453
