n	rho	drho
704 2.70689 -29.236
705 2.70631 -29.1343
706 2.70573 -29.0319
707 2.70515 -28.9287
708 2.70457 -28.8248
709 2.704 -28.7201
710 2.70342 -28.6146
711 2.70285 -28.5084
712 2.70228 -28.4013
713 2.70172 -28.2936
714 2.70115 -28.185
715 2.70059 -28.0757
716 2.70003 -27.9657
717 2.69947 -27.8549
718 2.69891 -27.7433
719 2.69836 -27.631
720 2.69781 -27.5179
721 2.69726 -27.404
722 2.69671 -27.2894
723 2.69617 -27.1741
724 2.69563 -27.0579
725 2.69509 -26.9411
726 2.69455 -26.8235
727 2.69401 -26.7051
728 2.69348 -26.586
729 2.69295 -26.4661
730 2.69242 -26.3455
731 2.6919 -26.2242
732 2.69137 -26.1021
733 2.69085 -25.9793
734 2.69033 -25.8557
735 2.68982 -25.7314
736 2.6893 -25.6063
737 2.68879 -25.4805
738 2.68828 -25.354
739 2.68778 -25.2268
740 2.68728 -25.0988
741 2.68677 -24.9701
742 2.68628 -24.8407
743 2.68578 -24.7105
744 2.68529 -24.5796
745 2.6848 -24.448
746 2.68431 -24.3157
747 2.68383 -24.1826
748 2.68334 -24.0489
749 2.68286 -23.9144
750 2.68239 -23.7792
751 2.68191 -23.6433
752 2.68144 -23.5067
753 2.68097 -23.3694
754 2.68051 -23.2314
755 2.68004 -23.0927
756 2.67958 -22.9533
757 2.67912 -22.8132
758 2.67867 -22.6724
759 2.67822 -22.5309
760 2.67777 -22.3887
761 2.67732 -22.2459
762 2.67688 -22.1023
763 2.67644 -21.9581
764 2.676 -21.8132
765 2.67557 -21.6676
766 2.67513 -21.5214
767 2.6747 -21.3745
768 2.67428 -21.2269
769 2.67386 -21.0786
770 2.67344 -20.9297
771 2.67302 -20.7801
772 2.6726 -20.6299
773 2.67219 -20.479
774 2.67179 -20.3275
775 2.67138 -20.1753
776 2.67098 -20.0225
777 2.67058 -19.869
778 2.67018 -19.7149
779 2.66979 -19.5602
780 2.6694 -19.4048
781 2.66901 -19.2488
782 2.66863 -19.0922
783 2.66825 -18.935
784 2.66787 -18.7771
785 2.6675 -18.6186
786 2.66713 -18.4596
787 2.66676 -18.2999
788 2.6664 -18.1396
789 2.66604 -17.9787
790 2.66568 -17.8172
791 2.66532 -17.6551
792 2.66497 -17.4925
793 2.66462 -17.3292
794 2.66428 -17.1654
795 2.66394 -17.001
796 2.6636 -16.836
797 2.66326 -16.6704
798 2.66293 -16.5043
799 2.6626 -16.3376
800 2.66228 -16.1704
801 2.66196 -16.0026
802 2.66164 -15.8342
803 2.66132 -15.6653
804 2.66101 -15.4959
805 2.6607 -15.3259
806 2.6604 -15.1554
807 2.6601 -14.9844
808 2.6598 -14.8128
809 2.6595 -14.6408
810 2.65921 -14.4682
811 2.65893 -14.2951
812 2.65864 -14.1215
813 2.65836 -13.9473
814 2.65808 -13.7727
815 2.65781 -13.5976
816 2.65754 -13.422
817 2.65727 -13.246
818 2.65701 -13.0694
819 2.65675 -12.8924
820 2.65649 -12.7149
821 2.65624 -12.5369
822 2.65599 -12.3585
823 2.65575 -12.1796
824 2.65551 -12.0003
825 2.65527 -11.8205
826 2.65503 -11.6402
827 2.6548 -11.4596
828 2.65457 -11.2785
829 2.65435 -11.097
830 2.65413 -10.915
831 2.65391 -10.7327
832 2.6537 -10.5499
833 2.65349 -10.3667
834 2.65329 -10.1832
835 2.65308 -9.99918
836 2.65289 -9.81482
837 2.65269 -9.63007
838 2.6525 -9.44494
839 2.65231 -9.25944
840 2.65213 -9.07356
841 2.65195 -8.88732
842 2.65178 -8.70072
843 2.6516 -8.51377
844 2.65143 -8.32647
845 2.65127 -8.13882
