n	v_eff	rho
354 4888.09 4.97919
355 4889.67 4.98253
356 4891.23 4.98587
357 4892.78 4.98921
358 4894.31 4.99254
359 4895.83 4.99587
360 4897.33 4.99919
361 4898.82 5.00251
362 4900.29 5.00582
363 4901.75 5.00913
364 4903.2 5.01244
365 4904.63 5.01574
366 4906.05 5.01903
367 4907.45 5.02233
368 4908.84 5.02561
369 4910.22 5.0289
370 4911.59 5.03218
371 4912.94 5.03545
372 4914.27 5.03872
373 4915.6 5.04199
374 4916.91 5.04525
375 4918.2 5.04851
376 4919.49 5.05177
377 4920.76 5.05502
378 4922.02 5.05827
379 4923.26 5.06151
380 4924.5 5.06475
381 4925.72 5.06799
382 4926.93 5.07122
383 4928.12 5.07445
384 4929.31 5.07768
385 4930.48 5.0809
386 4931.64 5.08412
387 4932.78 5.08733
388 4933.92 5.09054
389 4935.04 5.09375
390 4936.16 5.09695
391 4937.26 5.10016
392 4938.34 5.10335
393 4939.42 5.10655
394 4940.49 5.10974
395 4941.54 5.11292
396 4942.59 5.11611
397 4943.62 5.11929
398 4944.64 5.12247
399 4945.65 5.12564
400 4946.65 5.12881
401 4947.64 5.13198
402 4948.61 5.13515
403 4949.58 5.13831
404 4950.53 5.14147
405 4951.48 5.14463
406 4952.41 5.14778
407 4953.34 5.15093
408 4954.25 5.15408
409 4955.15 5.15722
410 4956.05 5.16036
411 4956.93 5.1635
412 4957.8 5.16664
413 4958.66 5.16977
414 4959.51 5.1729
415 4960.36 5.17603
416 4961.19 5.17916
417 4962.01 5.18228
418 4962.82 5.1854
419 4963.63 5.18852
420 4964.42 5.19163
421 4965.2 5.19475
422 4965.98 5.19786
423 4966.74 5.20096
424 4967.5 5.20407
425 4968.24 5.20717
426 4968.98 5.21027
427 4969.7 5.21337
428 4970.42 5.21647
429 4971.13 5.21956
430 4971.83 5.22265
431 4972.52 5.22574
432 4973.2 5.22883
433 4973.87 5.23191
434 4974.54 5.235
435 4975.19 5.23808
436 4975.84 5.24116
437 4976.47 5.24423
438 4977.1 5.24731
439 4977.72 5.25038
440 4978.33 5.25345
441 4978.93 5.25652
442 4979.53 5.25958
443 4980.11 5.26265
444 4980.69 5.26571
445 4981.26 5.26877
446 4981.81 5.27183
447 4982.37 5.27489
448 4982.91 5.27795
449 4983.44 5.281
450 4983.97 5.28405
451 4984.49 5.2871
452 4985 5.29015
453 4985.5 5.2932
454 4986 5.29624
455 4986.48 5.29929
456 4986.96 5.30233
457 4987.43 5.30537
458 4987.9 5.30841
459 4988.35 5.31145
460 4988.8 5.31449
461 4989.24 5.31752
462 4989.67 5.32056
463 4990.09 5.32359
464 4990.51 5.32662
465 4990.92 5.32965
466 4991.32 5.33268
467 4991.72 5.3357
468 4992.1 5.33873
469 4992.48 5.34175
470 4992.85 5.34478
471 4993.22 5.3478
472 4993.57 5.35082
473 4993.92 5.35384
474 4994.27 5.35686
475 4994.6 5.35988
476 4994.93 5.36289
477 4995.25 5.36591
478 4995.56 5.36892
479 4995.87 5.37194
480 4996.17 5.37495
481 4996.46 5.37796
482 4996.75 5.38097
483 4997.03 5.38398
484 4997.3 5.38699
485 4997.56 5.39
486 4997.82 5.393
487 4998.07 5.39601
488 4998.31 5.39901
489 4998.55 5.40202
490 4998.78 5.40502
491 4999.01 5.40803
492 4999.22 5.41103
493 4999.43 5.41403
494 4999.64 5.41703
495 4999.83 5.42003
496 5000.02 5.42303
497 5000.21 5.42603
498 5000.39 5.42903
499 5000.56 5.43203
500 5000.72 5.43502
501 5000.88 5.43802
502 5001.03 5.44102
503 5001.17 5.44401
504 5001.31 5.44701
505 5001.45 5.45
506 5001.57 5.453
507 5001.69 5.45599
508 5001.8 5.45899
509 5001.91 5.46198
510 5002.01 5.46497
511 5002.11 5.46797
512 5002.19 5.47096
513 5002.28 5.47395
514 5002.35 5.47695
515 5002.42 5.47994
516 5002.49 5.48293
517 5002.54 5.48592
518 5002.59 5.48891
519 5002.64 5.4919
520 5002.68 5.49489
521 5002.71 5.49789
522 5002.74 5.50088
523 5002.76 5.50387
524 5002.78 5.50686
525 5002.79 5.50985
526 5002.79 5.51284
527 5002.79 5.51583
528 5002.78 5.51882
529 5002.76 5.52181
530 5002.74 5.5248
531 5002.72 5.52779
532 5002.69 5.53079
533 5002.65 5.53378
534 5002.61 5.53677
535 5002.56 5.53976
536 5002.5 5.54275
537 5002.44 5.54574
538 5002.38 5.54874
539 5002.3 5.55173
540 5002.23 5.55472
541 5002.14 5.55772
542 5002.06 5.56071
543 5001.96 5.5637
544 5001.86 5.5667
545 5001.76 5.56969
546 5001.64 5.57269
547 5001.53 5.57568
548 5001.41 5.57868
549 5001.28 5.58167
550 5001.15 5.58467
551 5001.01 5.58767
552 5000.86 5.59066
553 5000.71 5.59366
554 5000.56 5.59666
555 5000.4 5.59966
556 5000.23 5.60266
557 5000.06 5.60566
558 4999.88 5.60866
559 4999.7 5.61166
560 4999.51 5.61466
561 4999.32 5.61767
562 4999.12 5.62067
563 4998.92 5.62367
564 4998.71 5.62668
565 4998.5 5.62969
566 4998.28 5.63269
567 4998.05 5.6357
568 4997.82 5.63871
569 4997.59 5.64171
570 4997.35 5.64472
571 4997.1 5.64773
572 4996.85 5.65075
573 4996.6 5.65376
574 4996.33 5.65677
575 4996.07 5.65978
576 4995.8 5.6628
577 4995.52 5.66581
578 4995.24 5.66883
579 4994.95 5.67185
580 4994.66 5.67487
581 4994.36 5.67789
582 4994.06 5.68091
583 4993.75 5.68393
584 4993.44 5.68695
585 4993.12 5.68997
586 4992.8 5.693
587 4992.47 5.69602
588 4992.14 5.69905
589 4991.8 5.70208
590 4991.46 5.70511
591 4991.11 5.70814
592 4990.76 5.71117
593 4990.4 5.7142
594 4990.04 5.71724
595 4989.67 5.72027
